city_name,country,hemisphere,lat,lon,avg_annual_temp,spring_TAVG,summer_TAVG,autumn_TAVG,winter_TAVG,summer_TMAX,winter_TMIN,temp_range,annual_PRCP,spring_PRCP,summer_PRCP,autumn_PRCP,winter_PRCP,wettest_season,driest_season,climate_type,data_years,total_records
Gold Coast,Australia,Southern,-28.42,152.2,19.84,22.28,24.43,17.15,15.52,35.47,2.39,33.08,11.25,2.63,4.34,2.79,1.48,summer,winter,Temperate-Dry-Continental,20,80
Gothenburg,Sweden,Northern,57.13,16.03,6.47,9.77,14.51,2.95,-1.36,29.36,-15.77,45.13,6.76,1.43,2.34,1.77,1.22,summer,winter,Cold-Dry-Continental,20,80
Granada,Spain,Northern,36.15,-5.35,18.86,19.56,23.9,17.57,14.41,34.97,6.72,28.25,7.61,1.07,0.34,2.83,3.37,winter,summer,Temperate-Dry-Moderate,20,80
Graz,Austria,Northern,48.05,14.13,10.5,15.06,18.96,5.44,2.55,33.8,-10.1,43.9,10.57,3.21,4.29,1.75,1.33,summer,winter,Temperate-Dry-Continental,20,80
Guadalajara,Mexico,Northern,20.57,-103.29,21.18,24.17,22.08,19.09,19.36,31.97,3.72,28.25,6.32,1.12,4.7,0.43,0.06,summer,winter,Hot-Dry-Moderate,20,80
Guangzhou,China,Northern,23.39,113.5,22.12,25.01,28.51,19.3,15.67,36.82,4.14,32.68,23.02,9.52,8.11,2.71,2.68,spring,winter,Hot-Dry-Continental,20,80
Guatemala City,Guatemala,Northern,17.54,-88.31,27.46,28.82,29.05,26.18,25.81,33.81,16.26,17.55,13.09,2.59,3.73,5.07,1.7,autumn,winter,Hot-Dry-Moderate,18,72
Guayaquil,Ecuador,Southern,-1.53,-78.88,18.72,18.85,18.87,19.03,18.13,26.3,11.57,14.73,23.42,4.48,8.79,7.06,3.09,summer,winter,Temperate-Dry-Maritime,13,52
Haifa,Israel,Northern,31.53,34.9,19.58,21.77,26.41,17.54,12.61,37.3,2.18,35.12,5.11,0.45,0.06,2.09,2.51,winter,summer,Temperate-Dry-Continental,20,80
Halifax,Canada,Northern,45.42,-63.86,7.0,9.69,17.39,4.25,-3.32,30.32,-23.15,53.47,14.39,3.28,3.33,4.42,3.35,autumn,spring,Cold-Dry-Continental,20,80
Hamburg,Germany,Northern,53.3,9.7,10.24,13.13,17.25,7.02,3.55,33.3,-10.66,43.96,8.08,1.79,2.32,2.08,1.9,summer,spring,Temperate-Dry-Continental,20,80
Hamilton,Canada,Northern,43.32,-79.87,9.25,12.9,20.27,5.42,-1.58,33.37,-20.43,53.8,9.7,2.56,2.43,2.35,2.37,spring,autumn,Cold-Dry-Continental,8,32
Hangzhou,China,Northern,30.22,120.14,18.13,21.79,28.02,14.4,8.32,37.52,-2.67,40.19,19.16,5.43,5.9,3.25,4.58,summer,autumn,Temperate-Dry-Continental,18,72
Hanoi,Vietnam,Northern,22.52,107.25,22.07,25.47,27.29,19.29,16.23,35.89,5.55,30.34,23.24,9.72,8.57,3.19,1.77,spring,winter,Hot-Dry-Continental,20,80
Harare,Zimbabwe,Southern,-18.04,31.12,18.84,21.68,21.73,17.18,14.77,31.01,7.63,23.38,17.21,4.93,8.65,3.18,0.44,summer,winter,Temperate-Dry-Moderate,14,56
Havana,Cuba,Northern,19.3,-81.37,28.28,28.74,29.94,27.88,26.55,33.79,19.22,14.57,11.94,2.97,3.99,4.19,0.8,autumn,winter,Hot-Dry-Maritime,20,80
Helsinki,Finland,Northern,60.54,24.45,6.75,9.7,15.52,3.33,-1.57,26.04,-16.69,42.73,14.76,3.55,4.8,3.66,2.75,summer,winter,Cold-Dry-Continental,20,80
Hiroshima,Japan,Northern,34.73,133.5,16.74,19.15,26.69,13.39,7.73,35.9,-2.48,38.38,13.75,3.72,5.59,2.29,2.15,summer,winter,Temperate-Dry-Continental,20,80
Ho Chi Minh City,Vietnam,Northern,10.88,106.74,27.33,28.81,28.95,26.25,25.3,35.54,19.59,15.95,27.63,4.68,5.73,13.41,3.81,autumn,winter,Hot-Dry-Moderate,20,80
Hobart,Australia,Southern,-42.26,147.27,12.32,13.57,16.32,10.49,8.89,34.11,-1.26,35.37,6.47,1.68,1.28,1.62,1.89,winter,summer,Temperate-Dry-Continental,20,80
Hong Kong,China,Northern,23.42,113.86,22.1,24.99,28.42,19.34,15.66,36.59,4.31,32.28,23.0,9.21,8.09,2.89,2.81,spring,winter,Hot-Dry-Continental,20,80
Honolulu,United States,Northern,21.29,-157.86,25.34,25.38,27.28,25.33,23.35,33.31,15.28,18.03,5.52,1.09,1.03,1.59,1.82,winter,summer,Hot-Dry-Moderate,11,44
Hyderabad,India,Northern,17.37,78.58,27.39,30.37,27.35,25.89,25.97,36.14,19.89,16.25,30.49,6.68,9.45,9.89,4.47,autumn,winter,Hot-Dry-Moderate,20,80
Ibiza,Spain,Northern,38.92,1.21,18.49,19.44,25.58,16.47,12.5,35.48,1.49,33.99,4.56,0.63,0.97,1.89,1.07,autumn,spring,Temperate-Dry-Continental,20,80
Incheon,"Korea, South",Northern,37.49,126.71,12.45,16.59,24.21,7.85,1.14,31.8,-9.49,41.29,28.18,8.62,15.73,2.52,1.32,summer,winter,Temperate-Dry-Continental,12,48
Innsbruck,Austria,Northern,48.4,11.38,9.76,13.84,17.53,5.33,2.35,33.49,-14.3,47.79,8.24,2.66,2.76,1.52,1.3,summer,winter,Cold-Dry-Continental,20,80
Isfahan,Iran,Northern,32.82,51.2,18.77,23.82,29.03,13.37,8.85,42.47,-7.96,50.43,1.78,0.61,0.09,0.46,0.62,winter,summer,Temperate-Dry-Continental,20,80
Islamabad,Pakistan,Northern,33.52,72.9,22.44,28.94,29.08,17.4,14.35,39.42,1.46,37.96,13.04,2.17,6.96,1.4,2.51,summer,autumn,Hot-Dry-Continental,13,52
Istanbul,Turkey,Northern,40.03,28.84,15.55,18.17,24.36,12.35,7.32,36.02,-6.52,42.54,5.44,1.5,0.68,1.49,1.77,winter,summer,Temperate-Dry-Continental,20,80
Izmir,Turkey,Northern,38.43,28.46,18.02,20.92,27.24,14.3,9.63,39.35,-3.22,42.57,5.57,1.07,0.25,1.86,2.39,winter,summer,Temperate-Dry-Continental,20,80
Jaipur,India,Northern,30.33,76.47,22.27,27.8,27.74,17.86,15.68,36.43,5.75,30.68,23.62,6.34,10.86,3.48,2.94,summer,winter,Hot-Dry-Continental,20,80
Jakarta,Indonesia,Southern,-6.12,106.13,25.68,25.28,25.24,26.32,25.89,30.45,22.65,7.8,57.21,6.56,10.36,5.98,34.33,winter,autumn,Hot-Dry-Maritime,4,16
Jeddah,Saudi Arabia,Northern,19.58,37.22,29.41,29.87,35.38,27.56,24.84,45.05,16.4,28.65,146.08,39.08,45.68,27.76,33.57,summer,autumn,Hot-Dry-Moderate,2,8
Jeju,South Korea,Northern,32.6,130.35,17.76,20.3,26.93,14.57,9.25,35.4,-1.75,37.15,21.0,6.72,8.94,2.48,2.86,summer,autumn,Temperate-Dry-Continental,20,80
Jerusalem,Israel,Northern,31.66,34.9,20.91,22.83,27.56,19.07,14.19,37.82,3.47,34.35,4.93,0.44,0.07,2.04,2.38,winter,summer,Hot-Dry-Continental,20,80
Johannesburg,South Africa,Southern,-28.77,29.67,17.82,19.91,21.3,15.53,14.54,35.35,2.72,32.63,14.36,4.37,4.73,3.02,2.25,summer,winter,Temperate-Dry-Continental,20,80
Johor Bahru,Malaysia,Northern,3.02,102.16,27.62,28.21,27.69,27.14,27.45,34.38,21.93,12.45,29.65,6.68,7.0,10.24,5.72,autumn,winter,Hot-Dry-Maritime,18,72
Kabul,Afghanistan,Northern,34.06,71.39,19.85,26.18,27.12,14.66,11.43,38.13,-1.81,39.94,9.4,2.28,3.8,1.07,2.25,summer,autumn,Temperate-Dry-Continental,13,52
Kampala,Kenya,Southern,-1.3,36.75,18.44,18.68,19.87,18.51,16.7,28.18,10.45,17.73,36.74,13.98,6.39,10.33,6.04,spring,winter,Temperate-Dry-Moderate,4,16
Kaohsiung,Taiwan,Northern,20.13,121.84,25.7,27.19,27.86,25.01,22.74,32.86,15.21,17.65,37.49,9.31,12.86,10.59,4.74,summer,winter,Hot-Dry-Moderate,20,80
Karachi,Pakistan,Northern,25.05,67.22,26.83,31.62,30.32,23.76,21.63,39.31,8.09,31.22,3.56,0.66,2.29,0.28,0.33,summer,autumn,Hot-Dry-Continental,19,76
Kathmandu,Nepal,Northern,30.01,88.77,4.23,8.49,11.76,0.72,-4.06,22.67,-18.73,41.4,6.7,1.5,3.52,1.44,0.24,summer,winter,Cold-Dry-Continental,20,80
Kazan,Russia,Northern,55.64,49.02,5.08,12.4,17.0,-1.13,-7.93,33.15,-30.24,63.39,5.0,1.17,1.58,1.29,0.95,summer,winter,Cold-Dry-Continental,20,80
Khartoum,Sudan,Northern,15.46,32.83,30.69,34.42,30.91,31.14,26.31,41.12,14.44,26.68,67.15,18.13,10.86,11.78,26.38,winter,summer,Hot-Dry-Moderate,6,24
Kiev,Ukraine,Northern,53.0,31.6,7.86,13.85,17.53,2.53,-2.46,33.48,-22.83,56.31,7.09,1.96,2.04,1.72,1.37,summer,winter,Cold-Dry-Continental,20,80
Kigali,Rwanda,Southern,-1.97,30.14,20.99,20.63,21.16,20.79,21.37,30.51,15.58,14.93,27.99,7.55,7.61,9.6,3.23,autumn,winter,Hot-Dry-Maritime,15,60
Kingston,Jamaica,Northern,20.81,-75.95,26.59,26.81,28.38,26.53,24.64,34.71,17.43,17.28,21.18,5.5,4.11,8.1,3.47,autumn,winter,Hot-Dry-Moderate,20,80
Kitchener,Canada,Northern,43.65,-80.42,7.41,12.26,18.32,3.39,-4.31,31.85,-23.28,55.13,10.59,2.93,3.03,2.47,2.16,summer,winter,Cold-Dry-Continental,20,80
Kobe,Japan,Northern,34.66,134.65,17.34,19.73,27.33,14.35,7.94,36.07,-1.78,37.85,11.24,3.47,5.27,1.19,1.31,summer,autumn,Temperate-Dry-Continental,20,80
Kochi,India,Northern,10.19,75.62,27.96,28.64,27.32,27.44,28.43,33.97,23.07,10.9,41.86,13.54,12.83,10.9,4.59,spring,winter,Hot-Dry-Maritime,20,80
Kolkata,India,Northern,22.68,88.33,26.44,29.29,28.2,25.19,23.08,35.56,14.65,20.91,36.3,9.72,13.57,8.77,4.24,summer,winter,Hot-Dry-Moderate,20,80
Krabi,Thailand,Northern,8.33,99.22,27.82,28.55,27.86,27.19,27.66,34.84,22.02,12.82,32.16,7.87,8.03,10.39,5.87,autumn,winter,Hot-Dry-Maritime,20,80
Krakow,Poland,Northern,50.55,19.91,9.48,13.86,17.94,5.15,0.98,32.84,-14.5,47.34,6.08,1.81,2.24,0.94,1.09,summer,autumn,Cold-Dry-Continental,20,80
Kuala Lumpur,Malaysia,Northern,3.33,101.78,27.9,28.47,27.99,27.37,27.76,34.65,22.17,12.48,33.93,8.04,7.28,11.96,6.65,autumn,winter,Hot-Dry-Maritime,18,72
Kumasi,Ghana,Northern,6.59,-1.49,26.61,26.94,25.25,26.39,27.87,31.67,21.62,10.05,37.69,10.59,7.95,7.13,12.03,winter,autumn,Hot-Dry-Maritime,18,72
Kuwait City,Kuwait,Northern,29.32,47.67,27.18,31.95,38.49,20.09,18.17,47.15,7.98,39.17,5.2,0.52,0.17,2.99,1.52,autumn,summer,Hot-Dry-Continental,4,16
Kyoto,Japan,Northern,34.89,135.77,16.96,19.86,27.39,13.31,7.27,37.24,-2.78,40.02,11.78,3.08,5.69,1.49,1.53,summer,autumn,Temperate-Dry-Continental,20,80
La Paz,Bolivia,Southern,-16.46,-67.95,9.54,10.72,10.32,8.97,8.17,20.41,-3.43,23.84,16.11,4.49,5.46,2.84,3.32,summer,autumn,Cold-Dry-Moderate,20,80
Lagos,Nigeria,Northern,7.03,2.31,27.12,27.4,25.73,26.98,28.35,31.88,22.09,9.79,35.32,10.26,8.29,7.19,9.58,spring,autumn,Hot-Dry-Maritime,19,76
Lahore,Pakistan,Northern,31.66,74.17,24.75,31.19,30.55,20.06,17.2,39.48,4.84,34.64,8.2,1.64,5.32,0.4,0.84,summer,autumn,Hot-Dry-Continental,13,52
Las Vegas,United States,Northern,37.45,-113.71,11.61,14.77,21.12,6.82,3.74,34.05,-11.77,45.82,5.54,0.62,1.31,1.53,2.09,winter,spring,Temperate-Dry-Continental,20,80
Lhasa,China,Northern,29.76,91.09,7.44,11.31,14.43,3.65,0.4,25.52,-13.72,39.24,6.15,1.57,3.42,0.75,0.42,summer,winter,Cold-Dry-Continental,20,80
Libreville,Gabon,Northern,0.38,9.48,26.89,27.14,26.16,26.85,27.42,30.14,21.55,8.59,43.77,11.07,7.36,15.28,10.06,autumn,summer,Hot-Dry-Maritime,17,68
Lille,France,Northern,49.63,1.8,11.49,13.8,17.93,8.57,5.66,33.83,-6.03,39.86,7.42,1.66,1.87,2.15,1.74,autumn,spring,Temperate-Dry-Continental,20,80
Lima,Peru,Southern,-11.89,-77.1,20.96,20.05,24.2,20.72,18.85,31.09,13.79,17.3,9.81,3.35,2.87,1.44,2.15,spring,autumn,Hot-Dry-Moderate,13,52
Lisbon,Portugal,Northern,39.0,-6.34,16.92,19.08,24.6,13.55,10.46,40.74,-1.85,42.59,6.96,1.49,0.54,2.79,2.13,autumn,summer,Temperate-Dry-Continental,20,80
Liverpool,United Kingdom,Northern,53.12,-2.67,10.24,11.56,15.22,8.47,5.72,27.47,-4.89,32.36,9.18,1.74,2.32,2.78,2.34,autumn,spring,Temperate-Dry-Continental,20,80
Ljubljana,Slovenia,Northern,46.38,13.85,10.78,14.96,19.21,6.09,2.87,34.01,-10.28,44.29,15.62,3.82,4.94,3.92,2.93,summer,winter,Temperate-Dry-Continental,20,80
London,Canada,Northern,43.01,-81.06,8.77,13.42,19.69,4.62,-2.64,32.94,-22.32,55.26,10.54,2.76,2.85,2.67,2.26,summer,winter,Cold-Dry-Continental,20,80
Los Angeles,United States,Northern,36.29,-115.67,13.96,14.93,20.0,11.74,9.18,33.87,-3.42,37.29,4.47,0.34,0.65,1.47,2.0,winter,spring,Temperate-Dry-Continental,16,64
Lucerne,Switzerland,Northern,47.59,7.53,11.5,15.19,19.05,7.34,4.42,35.11,-10.36,45.47,5.98,1.85,1.63,1.3,1.2,spring,winter,Temperate-Dry-Continental,20,80
Lusaka,Zambia,Southern,-17.82,25.15,24.68,27.8,24.83,22.1,23.99,34.62,5.07,29.55,8.5,2.35,5.9,0.23,0.01,summer,winter,Hot-Dry-Moderate,10,40
Luxembourg,Luxembourg,Northern,49.63,6.2,10.27,13.67,17.47,6.45,3.47,33.47,-9.01,42.48,9.21,2.19,2.34,2.56,2.11,autumn,winter,Temperate-Dry-Continental,20,80
Lviv,Ukraine,Northern,48.67,21.22,10.29,15.32,19.5,5.01,1.31,34.25,-13.96,48.21,7.73,2.73,2.67,1.41,0.91,spring,winter,Temperate-Dry-Continental,17,68
Lyon,France,Northern,45.67,4.95,12.67,15.86,20.36,8.79,5.68,35.84,-7.07,42.91,7.72,2.22,1.96,2.1,1.44,spring,winter,Temperate-Dry-Continental,20,80
Macau,China,Northern,23.02,113.26,22.29,25.16,28.37,19.62,16.0,36.53,4.72,31.81,23.6,9.13,8.56,3.14,2.77,spring,winter,Hot-Dry-Continental,20,80
Madrid,Spain,Northern,40.47,-3.72,15.46,18.16,24.96,10.89,7.84,38.7,-4.89,43.59,5.24,1.34,0.58,1.91,1.4,autumn,summer,Temperate-Dry-Continental,20,80
Malaga,Spain,Northern,35.68,-5.56,18.34,18.56,24.27,16.98,13.56,33.93,3.63,30.3,12.82,2.97,0.82,4.78,4.24,autumn,summer,Temperate-Dry-Continental,20,80
Managua,Nicaragua,Northern,14.95,-86.59,25.55,26.89,26.57,24.46,24.3,34.01,15.36,18.65,15.87,3.56,4.21,5.61,2.5,autumn,winter,Hot-Dry-Moderate,18,72
Manama,Bahrain,Northern,25.26,55.36,29.26,32.08,35.85,26.69,22.41,46.42,13.06,33.36,0.95,0.21,0.1,0.24,0.41,winter,summer,Hot-Dry-Continental,17,68
Manchester,United Kingdom,Northern,53.16,-2.36,10.21,11.55,15.24,8.4,5.67,27.49,-4.96,32.45,9.0,1.72,2.27,2.69,2.33,autumn,spring,Temperate-Dry-Continental,20,80
Manila,Philippines,Northern,14.62,121.06,28.1,29.35,28.19,27.79,27.07,34.59,21.38,13.21,40.58,10.55,17.06,8.21,4.76,summer,winter,Hot-Dry-Maritime,20,80
Marrakech,Morocco,Northern,31.69,-7.96,20.61,22.38,28.04,17.74,14.29,43.83,3.12,40.71,5.45,0.53,2.4,1.32,1.2,summer,spring,Hot-Dry-Continental,20,80
Marseille,France,Northern,43.75,5.19,14.68,17.26,22.45,11.2,7.79,35.25,-4.55,39.8,6.86,1.51,1.24,2.56,1.55,autumn,summer,Temperate-Dry-Continental,20,80
Mashhad,Iran,Northern,36.26,59.58,16.61,22.43,26.33,10.63,7.03,40.32,-9.91,50.23,1.62,0.59,0.2,0.21,0.62,winter,summer,Temperate-Dry-Continental,20,80
Medan,Indonesia,Northern,3.57,98.66,26.07,26.72,25.64,25.95,25.95,30.83,22.43,8.4,57.53,9.14,16.62,20.94,10.82,autumn,spring,Hot-Dry-Maritime,13,52
Medellín,Colombia,Northern,5.99,-75.24,19.49,19.66,19.74,19.08,19.48,27.91,13.3,14.61,32.83,10.6,6.11,10.03,6.09,spring,winter,Temperate-Dry-Maritime,16,64
Melbourne,Australia,Southern,-37.87,144.66,14.77,16.38,19.32,12.55,10.84,40.82,0.01,40.81,6.01,1.77,1.23,1.49,1.52,spring,summer,Temperate-Dry-Continental,20,80
Mendoza,Argentina,Southern,-32.94,-68.65,16.19,20.84,23.16,12.33,8.45,37.48,2.05,35.43,15.76,4.89,5.9,2.63,2.34,summer,winter,Temperate-Dry-Continental,20,80
Mexico City,Mexico,Northern,19.37,-99.14,18.4,20.72,18.53,16.77,17.57,28.68,4.1,24.58,6.55,1.75,4.09,0.57,0.14,summer,winter,Temperate-Dry-Moderate,20,80
Miami,United States,Northern,26.18,-80.45,25.27,26.53,28.71,24.15,21.71,35.52,6.41,29.11,18.18,5.58,6.88,3.73,1.98,summer,winter,Hot-Dry-Moderate,11,44
Milan,Italy,Northern,43.83,9.19,12.99,16.21,21.29,8.99,5.47,32.13,-5.93,38.06,7.13,1.96,1.23,1.97,1.97,autumn,summer,Temperate-Dry-Continental,20,80
Monaco,Monaco,Northern,43.77,7.02,15.92,17.86,23.54,12.84,9.45,33.97,0.16,33.81,7.29,1.44,0.97,2.89,1.99,autumn,summer,Temperate-Dry-Continental,20,80
Monterrey,Mexico,Northern,25.6,-100.45,23.12,26.69,27.8,19.37,18.61,39.27,1.51,37.76,8.01,2.22,4.03,1.55,0.21,summer,winter,Hot-Dry-Continental,20,80
Montevideo,Uruguay,Southern,-34.38,-56.09,16.5,18.3,21.86,14.36,11.46,35.47,1.26,34.21,23.23,5.6,6.43,5.86,5.34,summer,winter,Temperate-Dry-Continental,20,80
Montpellier,France,Northern,43.71,3.89,14.57,17.14,22.14,11.11,7.9,35.06,-5.3,40.36,6.46,1.41,1.34,2.26,1.46,autumn,summer,Temperate-Dry-Continental,20,80
Montreal,Canada,Northern,45.47,-73.6,7.96,13.27,20.34,3.02,-4.81,33.58,-25.43,59.01,12.06,2.93,3.05,3.4,2.67,autumn,winter,Cold-Dry-Continental,8,32
Moscow,Russia,Northern,55.1,35.72,6.6,12.38,16.52,1.46,-3.95,30.03,-23.25,53.28,9.76,3.27,3.04,2.05,1.39,spring,winter,Cold-Dry-Continental,20,80
Mumbai,India,Northern,19.12,72.85,28.58,29.57,27.92,28.99,27.83,33.31,19.24,14.07,58.49,19.29,22.34,13.39,3.46,summer,winter,Hot-Dry-Maritime,8,32
Munich,Germany,Northern,48.05,14.13,9.89,14.06,17.77,5.31,2.39,34.23,-11.4,45.63,11.96,3.33,4.56,2.31,1.77,summer,winter,Cold-Dry-Continental,20,80
Muscat,Oman,Northern,25.26,55.36,29.1,32.03,35.68,26.34,22.34,46.43,12.22,34.21,1.09,0.33,0.11,0.22,0.44,winter,summer,Hot-Dry-Continental,17,68
Mykonos,Greece,Northern,36.89,25.1,18.84,21.02,26.87,15.92,11.56,37.66,1.24,36.42,5.53,0.53,0.48,2.24,2.29,winter,summer,Temperate-Dry-Continental,20,80
Mérida,Mexico,Northern,20.87,-89.6,26.78,28.86,27.95,25.29,25.02,37.45,11.93,25.52,12.76,2.49,6.48,3.1,0.69,summer,winter,Hot-Dry-Moderate,20,80
Nagoya,Japan,Northern,34.79,136.99,16.4,19.09,26.7,12.92,6.91,36.42,-3.28,39.7,15.3,4.02,6.27,2.69,2.31,summer,winter,Temperate-Dry-Continental,20,80
Nairobi,Kenya,Southern,-1.29,36.83,19.78,19.85,20.31,19.83,19.13,28.86,11.86,17.0,21.61,6.94,5.43,5.45,3.79,spring,winter,Temperate-Dry-Moderate,19,76
Nanjing,China,Northern,32.05,118.69,16.61,21.17,26.6,11.63,7.06,36.71,-4.85,41.56,16.22,4.14,6.75,2.23,3.1,summer,autumn,Temperate-Dry-Continental,20,80
Naples,Italy,Northern,41.06,13.96,15.73,17.53,23.54,13.18,8.65,34.94,-1.79,36.73,5.98,1.16,0.9,2.05,1.87,autumn,summer,Temperate-Dry-Continental,20,80
Nara,Japan,Northern,34.71,135.49,16.5,19.3,26.72,12.95,7.02,36.51,-3.28,39.79,11.19,3.11,5.22,1.45,1.42,summer,winter,Temperate-Dry-Continental,20,80
Nashville,United States,Northern,36.62,-87.41,16.16,20.5,25.15,11.64,7.37,36.72,-12.53,49.25,14.38,3.59,3.6,3.08,4.1,winter,autumn,Temperate-Dry-Continental,12,48
Nassau,Bahamas,Northern,26.17,-80.48,25.24,26.46,28.71,24.15,21.66,35.33,6.2,29.13,16.4,4.86,6.02,3.59,1.92,summer,winter,Hot-Dry-Moderate,11,44
New Orleans,United States,Northern,30.58,-90.13,20.97,24.27,27.77,17.47,14.36,37.11,-3.75,40.86,18.11,5.74,4.95,3.6,3.82,spring,autumn,Hot-Dry-Continental,11,44
New York,United States,Northern,40.85,-73.92,13.27,16.76,23.87,9.55,2.9,35.86,-13.92,49.78,12.99,3.1,3.57,3.24,3.08,summer,winter,Temperate-Dry-Continental,11,44
Newcastle,Australia,Southern,-32.81,151.63,17.88,20.24,22.63,15.12,13.55,39.59,1.06,38.53,12.14,2.54,3.9,3.71,2.0,summer,winter,Temperate-Dry-Continental,20,80
Niamey,Niger,Northern,13.5,2.13,30.16,32.2,28.35,29.55,30.54,37.82,22.04,15.78,32.56,5.41,8.57,3.13,15.45,winter,autumn,Hot-Dry-Moderate,14,56
